,Country,ESTJ,ESTP,ESFJ,ESFP,ENTJ,ENTP,ENFJ,ENFP,ISTJ,ISTP,ISFJ,ISFP,INTJ,INTP,INFJ,INFP,I,E,N,S,F,T,P,J
10,Azerbaijan,0.0857,0.0308,0.07350000000000001,0.047099999999999906,0.0571,0.0663,0.0742,0.0855999999999999,0.0578,0.028499999999999998,0.0561,0.0372,0.0528,0.0804,0.060300000000000006,0.1061999999999999,0.4792999999999999,0.5202999999999998,0.5828999999999999,0.4166999999999999,0.5401999999999998,0.4593999999999999,0.4820999999999997,0.5175
11,Bahamas,0.0469,0.023799999999999898,0.0905999999999999,0.0341,0.0312,0.0482999999999999,0.0702,0.10769999999999999,0.053500000000000006,0.031799999999999995,0.0842999999999999,0.055900000000000005,0.041599999999999804,0.0633,0.0847,0.132,0.5470999999999998,0.4527999999999997,0.5789999999999996,0.4208999999999997,0.6594999999999999,0.3403999999999996,0.49689999999999984,0.5029999999999996
12,Bahrain,0.0513,0.0299999999999999,0.08979999999999999,0.0509999999999999,0.0419,0.0509999999999999,0.0825999999999999,0.1339,0.03,0.0234,0.0597,0.047,0.0394,0.0564,0.076,0.1366999999999998,0.4685999999999998,0.5314999999999995,0.6178999999999997,0.3821999999999998,0.6766999999999996,0.3233999999999998,0.5293999999999995,0.4706999999999999
13,Bangladesh,0.0441999999999999,0.0314,0.0839,0.0585,0.0295,0.044899999999999995,0.0639,0.1040999999999999,0.0366,0.0358,0.0599999999999999,0.069,0.0418,0.0771,0.0697,0.1497999999999999,0.5397999999999998,0.4603999999999998,0.5807999999999999,0.4193999999999998,0.6588999999999997,0.3412999999999999,0.5705999999999999,0.42959999999999976
14,Barbados,0.0382,0.024399999999999998,0.0836,0.0398,0.027700000000000002,0.0408,0.0669,0.0954,0.048600000000000004,0.027200000000000002,0.101,0.0516999999999999,0.0498,0.06420000000000001,0.0910999999999999,0.1497,0.5832999999999998,0.4168,0.5855999999999999,0.41449999999999987,0.6791999999999999,0.32089999999999996,0.49319999999999986,0.5068999999999999
15,Belarus,0.063,0.0345999999999999,0.057999999999999996,0.028999999999999998,0.0451999999999999,0.0704,0.051899999999999905,0.09409999999999999,0.0664,0.0468,0.0523999999999999,0.0412,0.0678,0.10519999999999999,0.0609,0.1135,0.5541999999999998,0.44619999999999976,0.6089999999999997,0.39139999999999986,0.5009999999999997,0.49939999999999984,0.5347999999999999,0.4655999999999997
16,Belgium,0.036,0.0237,0.0691,0.044399999999999995,0.0296999999999999,0.061,0.0663999999999999,0.16,0.0288,0.020900000000000002,0.0563,0.0413999999999999,0.038299999999999904,0.0771,0.07609999999999989,0.1707999999999999,0.5096999999999996,0.49029999999999974,0.6793999999999994,0.3205999999999999,0.6844999999999997,0.3154999999999998,0.5992999999999997,0.40069999999999956
17,Belize,0.0369999999999999,0.029899999999999996,0.09249999999999989,0.0583,0.0217,0.0472,0.0732,0.1184,0.039,0.022,0.0786,0.0529,0.0446,0.059899999999999995,0.0830999999999999,0.1416,0.5216999999999999,0.4781999999999998,0.5897,0.41019999999999984,0.6985999999999999,0.3012999999999999,0.5302,0.4696999999999997
18,Bhutan,0.059699999999999996,0.0119,0.1368999999999999,0.0688,0.025999999999999898,0.023200000000000002,0.0652999999999999,0.139,0.0237999999999998,0.013999999999999999,0.0757999999999999,0.0624999999999999,0.0189,0.052599999999999994,0.0646,0.15660000000000002,0.46879999999999955,0.5307999999999997,0.5461999999999998,0.4533999999999995,0.7694999999999996,0.2300999999999997,0.5286,0.4709999999999994
19,Bosnia and Herzegovina,0.0479,0.029400000000000003,0.0483,0.030999999999999903,0.0583,0.09079999999999991,0.0686,0.11430000000000001,0.0347,0.020900000000000002,0.0346,0.0286,0.0696,0.1079,0.0777999999999999,0.1375,0.5115999999999999,0.48859999999999987,0.7247999999999998,0.2754,0.5406999999999998,0.4594999999999999,0.5603999999999999,0.4397999999999999
